id,sku,name,category,subcategory,description,price,rating,stock,features,specs,condition_tags,image_url
1,AM-ET-001,AquaMax TENS Unit Pro,Electrotherapy,TENS,Professional-grade TENS unit with 24 modes for pain relief,8499.0,4.6,45,"24 therapy modes,Dual-channel,Rechargeable Li-ion,LCD display,Timer function","{channels: 2, modes: 24, battery: Li-ion 1800mAh, weight: 280g}","chronic pain,back pain,muscle soreness,arthritis,post-surgery",https://example.com/images/tens-pro.jpg
2,AM-ET-002,AquaMax EMS Muscle Stimulator,Electrotherapy,EMS,Electrical muscle stimulation device for muscle strengthening and recovery,6299.0,4.4,32,"20 intensity levels,8 electrode pads included,Muscle strengthening mode,Recovery mode,Portable design","{intensity_levels: 20, pads: 8, battery: AAA x 4, weight: 350g}","muscle atrophy,post-injury recovery,stroke rehabilitation,fitness training",https://example.com/images/ems-stim.jpg
3,AM-ET-003,AquaMax Interferential Therapy Unit,Electrotherapy,IFT,Clinical interferential therapy unit for deep tissue pain relief,24999.0,4.7,12,"4-electrode setup,Sweep frequency,Vector mode,Deep tissue penetration,Clinical grade","{frequency_range: 1-150 Hz, output: 0-80mA, channels: 4, weight: 2.1kg}","deep tissue pain,sciatica,osteoarthritis,sports injury,chronic pain",https://example.com/images/ift-unit.jpg
4,AM-US-001,AquaMax Ultrasound Therapy System,Ultrasound Therapy,Therapeutic Ultrasound,1 MHz and 3 MHz therapeutic ultrasound for tissue healing and pain reduction,18500.0,4.5,18,"1 MHz & 3 MHz,Touchscreen LCD,Preset protocols,Continuous & pulsed mode,Treatment timer","{frequencies: 1, 3 MHz, intensity: 0.5-3.0 W/cm², head_size: 5 cm², weight: 1.8kg}","tendonitis,sprains,soft tissue injury,inflammation,scar tissue",https://example.com/images/ultrasound.jpg
5,AM-US-002,AquaMax Portable Ultrasound,Ultrasound Therapy,Portable Ultrasound,Compact handheld ultrasound therapy device for home use and mobile physiotherapy,4999.0,4.2,60,"Handheld portable,1 MHz frequency,3 intensity levels,Battery operated,LED indicator","{frequency: 1 MHz, intensity: 0.5-1.5 W/cm², battery: Rechargeable, weight: 150g}","home rehabilitation,mild pain,muscle spasms,minor injuries",https://example.com/images/ultrasound-portable.jpg
6,AM-EX-001,AquaMax Parallel Bars (Adjustable),Exercise Equipment,Gait Training,Heavy-duty adjustable parallel bars for gait training and balance exercises,32499.0,4.8,8,"Width: 50-70 cm adjustable,Height: 75-100 cm adjustable,Anti-slip platform,500kg capacity,Foldable","{material: Steel, length: 300cm, max_weight: 500kg, weight: 35kg}","stroke recovery, gait training, balance disorder, Parkinson's, post-surgery",https://example.com/images/parallel-bars.jpg
7,AM-EX-002,AquaMax Multi-Gym Station,Exercise Equipment,Multi-Gym,Comprehensive rehabilitation multi-gym for strength training and functional recovery,84999.0,4.9,5,"8 exercise stations,Adjustable resistance 5-100kg,Physiotherapy protocols,Safety locks,Digital rep counter","{stations: 8, resistance_range: 5-100kg, footprint: 2.5m x 2m, weight: 180kg}","strength training, ACL recovery, post-fracture, orthopedic rehab, sports injury",https://example.com/images/multi-gym.jpg
8,AM-EX-003,AquaMax Resistance Band Set,Exercise Equipment,Resistance Bands,Complete set of 5 resistance bands with handles and accessories,1299.0,4.3,150,"5 resistance levels,Handles included,Door anchor,Ankle straps,Carrying bag","{resistance: 5-25kg, length: 120cm, material: Latex, weight: 400g}","home exercise, shoulder rehab, knee rehab, flexibility, general fitness",https://example.com/images/band-set.jpg
9,AM-EX-004,AquaMax Balance Board Pro,Exercise Equipment,Balance Training,Wobble balance board for proprioception training and ankle rehabilitation,3499.0,4.5,42,"Adjustable tilt angle,Non-slip surface,360° rotation,Max weight 150kg,Progressive difficulty","{diameter: 40cm, max_weight: 150kg, material: ABS + PVC, weight: 1.2kg}","ankle sprain, balance training, proprioception, core stability, vestibular rehab",https://example.com/images/balance-board.jpg
10,AM-HT-001,AquaMax Underwater Treadmill,Hydrotherapy,Aquatic Treadmill,Underwater treadmill for aquatic gait training and low-impact rehabilitation,185000.0,4.9,3,"Speed: 0.5-8 km/h,Adjustable depth,Anti-corrosion frame,Digital control panel,Safety harness","{speed_range: 0.5-8 km/h, depth: adjustable, motor: 2HP waterproof, weight: 220kg}","aquatic therapy, gait training, arthritis, joint replacement, sports injury, low-impact cardio",https://example.com/images/underwater-treadmill.jpg
